time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
1970/01/01/01:00:00.745000,1,0,745000000,,-0.304923146963,0.0
1970/01/01/01:00:00.766000,2,0,766000000,,-0.292299091816,0.0
1970/01/01/01:00:00.786000,3,0,787000000,,-0.315526753664,0.363476574421
1970/01/01/01:00:00.808000,4,0,808000000,,-0.306514978409,0.609974682331
1970/01/01/01:00:00.829000,5,0,829000000,,-0.291712850332,0.807120978832
1970/01/01/01:00:00.850000,6,0,850000000,,-0.300975292921,0.966353774071
1970/01/01/01:00:00.871000,7,0,870000000,,-0.292893707752,1.04247093201
1970/01/01/01:00:00.892000,8,0,891000000,,-0.29981559515,1.08672964573
1970/01/01/01:00:00.913000,9,0,912000000,,-0.31659963727,1.0712698698
1970/01/01/01:00:00.934000,10,0,934000000,,-0.306508928537,0.985865235329
1970/01/01/01:00:00.955000,11,0,955000000,,-0.312344789505,0.898692548275
1970/01/01/01:00:00.976000,12,0,976000000,,-0.31367495656,0.783382773399
1970/01/01/01:00:00.997000,13,0,997000000,,-0.3034684062,0.656933307648
1970/01/01/01:00:01.018000,14,1,17000000,,-0.295429080725,0.551387608051
1970/01/01/01:00:01.039000,15,1,37000000,,-0.300067961216,0.458452224731
1970/01/01/01:00:01.060000,16,1,60000000,,-0.323014110327,0.342923909426
1970/01/01/01:00:01.081000,17,1,81000000,,-0.310116916895,0.203094020486
1970/01/01/01:00:01.102000,18,1,96000000,,-0.29319819808,0.131309762597
1970/01/01/01:00:01.123000,19,1,122000000,,-0.307648807764,0.055604301393
1970/01/01/01:00:01.144000,20,1,143000000,,-0.29230478406,-0.0209074635059
1970/01/01/01:00:01.165000,21,1,164000000,,-0.297702670097,-0.0565431825817
1970/01/01/01:00:01.186000,22,1,185000000,,-0.309390902519,-0.0933733060956
1970/01/01/01:00:01.207000,23,1,207000000,,-0.314122438431,-0.143106147647
1970/01/01/01:00:01.228000,24,1,228000000,,-0.324897229671,-0.184819862247
1970/01/01/01:00:01.249000,25,1,248000000,,-0.31148865819,-0.229153707623
1970/01/01/01:00:01.270000,26,1,269000000,,-0.297816008329,-0.236460447311
1970/01/01/01:00:01.291000,27,1,291000000,,-0.32108387351,-0.208618700504
1970/01/01/01:00:01.312000,28,1,311000000,,-0.30597615242,-0.218985930085
1970/01/01/01:00:01.333000,29,1,332000000,,-0.302634090185,-0.193954244256
1970/01/01/01:00:01.351000,30,1,354000000,,-0.308851122856,-0.15867947042
1970/01/01/01:00:01.375000,31,1,374000000,,-0.296514540911,-0.136916533113
1970/01/01/01:00:01.396000,32,1,395000000,,-0.305644512177,-0.0914928391576
1970/01/01/01:00:01.417000,33,1,417000000,,-0.309289962053,-0.0653663277626
1970/01/01/01:00:01.438000,34,1,438000000,,-0.304125845432,-0.0487710312009
1970/01/01/01:00:01.459000,35,1,459000000,,-0.31692931056,-0.0242213234305
1970/01/01/01:00:01.480000,36,1,479000000,,-0.29655149579,-0.0253826826811
1970/01/01/01:00:01.501000,37,1,500000000,,-0.28919672966,0.0101506998762
1970/01/01/01:00:01.522000,38,1,521000000,,-0.292075902224,0.0520257353783
1970/01/01/01:00:01.543000,39,1,543000000,,-0.29541426897,0.0810130164027
1970/01/01/01:00:01.564000,40,1,564000000,,-0.298738569021,0.0947502106428
1970/01/01/01:00:01.585000,41,1,585000000,,-0.314073503017,0.0968078449368
1970/01/01/01:00:01.606000,42,1,606000000,,-0.303137660027,0.0681151673198
