time,.data
1970/01/01/01:00:01.794000,-1.0
1970/01/01/01:00:01.794000,-1.0
1970/01/01/01:00:01.804000,-1.0
1970/01/01/01:00:01.825000,-1.0
1970/01/01/01:00:01.844000,-1.0
1970/01/01/01:00:01.864000,-1.0
1970/01/01/01:00:01.884000,-1.0
1970/01/01/01:00:01.905000,-1.0
1970/01/01/01:00:01.924000,-1.0
1970/01/01/01:00:01.944000,-1.0
1970/01/01/01:00:01.964000,-1.0
1970/01/01/01:00:01.986000,-1.0
1970/01/01/01:00:02.005000,-1.0
1970/01/01/01:00:02.024000,-1.0
1970/01/01/01:00:02.044000,-1.0
1970/01/01/01:00:02.064000,-1.0
1970/01/01/01:00:02.084000,-1.0
1970/01/01/01:00:02.105000,-1.0
1970/01/01/01:00:02.124000,-1.0
1970/01/01/01:00:02.144000,-1.0
1970/01/01/01:00:02.164000,-1.0
1970/01/01/01:00:02.184000,-1.0
1970/01/01/01:00:02.204000,-1.0
1970/01/01/01:00:02.225000,-1.0
1970/01/01/01:00:02.245000,-0.849397942817
1970/01/01/01:00:02.264000,-0.530980003154
1970/01/01/01:00:02.286000,-0.373338700223
1970/01/01/01:00:02.311000,-0.466631673002
1970/01/01/01:00:02.324000,-0.467197788179
1970/01/01/01:00:02.344000,-0.414601881206
1970/01/01/01:00:02.365000,-0.49171915561
1970/01/01/01:00:02.384000,-0.678464882791
1970/01/01/01:00:02.405000,-0.817613179743
1970/01/01/01:00:02.424000,-1.0
1970/01/01/01:00:02.445000,-1.0
1970/01/01/01:00:02.464000,-1.0
1970/01/01/01:00:02.485000,-1.0
1970/01/01/01:00:02.505000,-1.0
1970/01/01/01:00:02.524000,-1.0
1970/01/01/01:00:02.545000,-1.0
1970/01/01/01:00:02.565000,-1.0
1970/01/01/01:00:02.584000,-1.0
1970/01/01/01:00:02.605000,-1.0
1970/01/01/01:00:02.624000,-1.0
1970/01/01/01:00:02.645000,-1.0
1970/01/01/01:00:02.665000,-1.0
1970/01/01/01:00:02.685000,-1.0
1970/01/01/01:00:02.704000,-1.0
1970/01/01/01:00:02.724000,-1.0
1970/01/01/01:00:02.744000,-1.0
1970/01/01/01:00:02.764000,-1.0
1970/01/01/01:00:02.785000,-1.0
1970/01/01/01:00:02.804000,-1.0
1970/01/01/01:00:02.824000,-1.0
1970/01/01/01:00:02.845000,-1.0
1970/01/01/01:00:02.865000,-1.0
1970/01/01/01:00:02.884000,-1.0
1970/01/01/01:00:02.905000,-1.0
1970/01/01/01:00:02.924000,-1.0
1970/01/01/01:00:02.944000,-1.0
1970/01/01/01:00:02.965000,-1.0
1970/01/01/01:00:02.984000,-1.0
1970/01/01/01:00:03.004000,-1.0
1970/01/01/01:00:03.028000,-1.0
1970/01/01/01:00:03.044000,-1.0
1970/01/01/01:00:03.064000,-1.0
1970/01/01/01:00:03.084000,-1.0
1970/01/01/01:00:03.105000,-1.0
1970/01/01/01:00:03.124000,-1.0
1970/01/01/01:00:03.145000,-1.0
1970/01/01/01:00:03.165000,-1.0
1970/01/01/01:00:03.184000,-1.0
1970/01/01/01:00:03.204000,-1.0
1970/01/01/01:00:03.225000,-1.0
1970/01/01/01:00:03.245000,-1.0
1970/01/01/01:00:03.264000,-1.0
1970/01/01/01:00:03.284000,-1.0
1970/01/01/01:00:03.305000,-1.0
1970/01/01/01:00:03.325000,-1.0
1970/01/01/01:00:03.344000,-1.0
1970/01/01/01:00:03.365000,-1.0
1970/01/01/01:00:03.384000,-1.0
1970/01/01/01:00:03.405000,-1.0
1970/01/01/01:00:03.424000,-1.0
1970/01/01/01:00:03.445000,-1.0
1970/01/01/01:00:03.464000,-1.0
1970/01/01/01:00:03.485000,-1.0
1970/01/01/01:00:03.505000,-1.0
1970/01/01/01:00:03.524000,-1.0
1970/01/01/01:00:03.545000,-1.0
1970/01/01/01:00:03.564000,-1.0
1970/01/01/01:00:03.585000,-1.0
1970/01/01/01:00:03.605000,-1.0
1970/01/01/01:00:03.625000,-1.0
1970/01/01/01:00:03.645000,-1.0
1970/01/01/01:00:03.665000,-1.0
1970/01/01/01:00:03.685000,-1.0
1970/01/01/01:00:03.704000,-1.0
1970/01/01/01:00:03.725000,-1.0
1970/01/01/01:00:03.745000,-1.0
1970/01/01/01:00:03.765000,-1.0
1970/01/01/01:00:03.784000,-1.0
1970/01/01/01:00:03.805000,-1.0
1970/01/01/01:00:03.824000,-1.0
1970/01/01/01:00:03.845000,-1.0
1970/01/01/01:00:03.865000,-1.0
1970/01/01/01:00:03.884000,-1.0
1970/01/01/01:00:03.904000,-1.0
1970/01/01/01:00:03.925000,-1.0
