time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:01:01.419000,2,61,417000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.437000,3,61,437000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.457000,4,61,457000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.477000,5,61,477000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.498000,6,61,497000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.519000,7,61,518000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.537000,8,61,537000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.557000,9,61,557000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.578000,10,61,577000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.598000,11,61,597000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.617000,12,61,617000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.641000,13,61,640000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.661000,14,61,657000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.678000,15,61,677000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.697000,16,61,697000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.718000,17,61,718000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.737000,18,61,737000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.757000,19,61,757000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.778000,20,61,778000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.797000,21,61,797000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.818000,22,61,817000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.851000,23,61,850000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.858000,24,61,858000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.877000,25,61,877000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.897000,26,61,897000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.918000,27,61,917000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.938000,28,61,937000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.957000,29,61,957000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.981000,30,61,980000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.998000,31,61,997000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.018000,32,62,17000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.039000,33,62,39000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.057000,34,62,57000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.078000,35,62,77000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.098000,36,62,97000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.117000,37,62,117000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.138000,38,62,137000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.158000,39,62,158000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.178000,40,62,177000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.197000,41,62,197000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.217000,42,62,217000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.238000,43,62,237000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.258000,44,62,257000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.278000,45,62,277000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.298000,46,62,297000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.320000,47,62,319000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.337000,48,62,337000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.357000,49,62,357000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.378000,50,62,377000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.398000,51,62,397000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.418000,52,62,418000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.437000,53,62,437000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.458000,54,62,457000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.478000,55,62,477000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.498000,56,62,498000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.518000,57,62,517000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.537000,58,62,537000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.557000,59,62,557000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.578000,60,62,577000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.597000,61,62,597000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.617000,62,62,617000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.638000,63,62,637000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.658000,64,62,658000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.678000,65,62,677000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.698000,66,62,697000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.718000,67,62,717000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.738000,68,62,737000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.758000,69,62,757000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.778000,70,62,778000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.797000,71,62,797000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.818000,72,62,817000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.837000,73,62,837000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.857000,74,62,857000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.878000,75,62,878000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.897000,76,62,897000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.918000,77,62,917000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.937000,78,62,937000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.957000,79,62,957000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.977000,80,62,977000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.997000,81,62,997000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.017000,82,63,17000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.037000,83,63,37000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.057000,84,63,57000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.077000,85,63,77000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.097000,86,63,97000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.118000,87,63,117000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.138000,88,63,137000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.157000,89,63,157000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.177000,90,63,177000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.197000,91,63,197000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.219000,92,63,219000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.238000,93,63,237000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.257000,94,63,257000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.279000,95,63,278000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.299000,96,63,297000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.318000,97,63,317000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.337000,98,63,337000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.357000,99,63,357000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.377000,100,63,377000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.397000,101,63,397000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.417000,102,63,417000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.437000,103,63,437000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.457000,104,63,458000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.479000,105,63,478000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.498000,106,63,497000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.517000,107,63,517000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.538000,108,63,537000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.558000,109,63,557000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.578000,110,63,577000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.597000,111,63,597000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.618000,112,63,617000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.638000,113,63,637000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.657000,114,63,657000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.677000,115,63,677000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.697000,116,63,697000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.717000,117,63,717000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.737000,118,63,737000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.757000,119,63,757000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.777000,120,63,777000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.798000,121,63,797000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.817000,122,63,817000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.837000,123,63,837000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.857000,124,63,857000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.877000,125,63,877000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.898000,126,63,898000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.917000,127,63,917000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.938000,128,63,937000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.957000,129,63,957000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.977000,130,63,977000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.998000,131,63,997000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.018000,132,64,17000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.037000,133,64,37000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.057000,134,64,57000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.077000,135,64,77000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.097000,136,64,97000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.117000,137,64,117000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.137000,138,64,137000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.158000,139,64,157000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.178000,140,64,178000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.198000,141,64,197000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.217000,142,64,217000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.238000,143,64,237000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.257000,144,64,257000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.278000,145,64,277000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.298000,146,64,297000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.319000,147,64,319000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.338000,148,64,337000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.357000,149,64,357000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.378000,150,64,378000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.397000,151,64,397000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.418000,152,64,418000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.437000,153,64,437000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.457000,154,64,457000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.477000,155,64,477000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.497000,156,64,497000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.517000,157,64,517000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.538000,158,64,537000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.558000,159,64,557000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.577000,160,64,577000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.599000,161,64,598000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.619000,162,64,619000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.637000,163,64,637000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.658000,164,64,657000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.677000,165,64,677000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.697000,166,64,697000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.717000,167,64,717000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.737000,168,64,737000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.760000,169,64,757000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.777000,170,64,777000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.797000,171,64,797000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.818000,172,64,818000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.837000,173,64,837000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.857000,174,64,857000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.877000,175,64,877000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.897000,176,64,897000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.917000,177,64,917000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.937000,178,64,937000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.957000,179,64,957000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.978000,180,64,978000000,,-0.5,0.0,0.0
1970/01/01/01:01:04.997000,181,64,997000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.018000,182,65,17000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.038000,183,65,38000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.057000,184,65,57000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.077000,185,65,77000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.098000,186,65,98000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.118000,187,65,117000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.137000,188,65,137000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.158000,189,65,158000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.177000,190,65,177000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.197000,191,65,197000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.217000,192,65,217000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.237000,193,65,237000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.257000,194,65,257000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.277000,195,65,277000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.297000,196,65,297000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.317000,197,65,317000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.338000,198,65,337000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.358000,199,65,358000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.378000,200,65,378000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.398000,201,65,398000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.417000,202,65,417000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.437000,203,65,437000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.457000,204,65,457000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.477000,205,65,477000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.498000,206,65,497000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.518000,207,65,517000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.537000,208,65,537000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.557000,209,65,557000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.580000,210,65,579000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.597000,211,65,597000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.618000,212,65,617000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.638000,213,65,637000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.658000,214,65,657000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.677000,215,65,678000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.697000,216,65,697000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.719000,217,65,718000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.741000,218,65,740000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.759000,219,65,757000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.778000,220,65,777000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.801000,221,65,798000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.817000,222,65,817000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.838000,223,65,838000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.857000,224,65,857000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.878000,225,65,877000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.898000,226,65,897000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.917000,227,65,917000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.937000,228,65,937000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.958000,229,65,957000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.978000,230,65,977000000,,-0.5,0.0,0.0
1970/01/01/01:01:05.997000,231,65,997000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.017000,232,66,17000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.037000,233,66,37000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.057000,234,66,57000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.077000,235,66,77000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.097000,236,66,97000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.117000,237,66,117000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.138000,238,66,137000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.157000,239,66,157000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.177000,240,66,177000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.197000,241,66,197000000,,-0.5,0.0,0.0
1970/01/01/01:01:06.218000,242,66,218000000,,-0.5,0.0,0.0
