time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:41:49.118751,5,1606412509,118375062,,-0.999430477619,-0.972869277
2020/11/26/18:41:49.163199,6,1606412509,162851095,,-0.996363222599,-0.704592943192
2020/11/26/18:41:49.207799,7,1606412509,207506895,,-0.997385621071,-0.496548116207
2020/11/26/18:41:49.250916,8,1606412509,250545978,,-0.998408079147,-0.345642089844
2020/11/26/18:41:49.295158,9,1606412509,294806957,,-0.993295907974,-0.224597290158
2020/11/26/18:41:49.339129,10,1606412509,338797092,,-0.992273449898,-0.143142789602
2020/11/26/18:41:49.383578,11,1606412509,383228063,,-0.990228593349,-0.0858980715275
2020/11/26/18:41:49.427993,12,1606412509,427638053,,-0.996363222599,-0.0657776072621
2020/11/26/18:41:49.475021,13,1606412509,474689006,,-0.995340764523,-0.0458906926215
2020/11/26/18:41:49.517405,14,1606412509,516791105,,-0.992273449898,-0.0241179578006
2020/11/26/18:41:49.560900,15,1606412509,560594081,,-0.993295907974,-0.0150202875957
2020/11/26/18:41:49.605001,16,1606412509,604584932,,-0.995340764523,-0.014038188383
2020/11/26/18:41:49.649447,17,1606412509,649055957,,-0.998408079147,-0.0185379721224
2020/11/26/18:41:49.694103,18,1606412509,693711996,,-0.999430477619,-0.0194754917175
2020/11/26/18:41:49.737809,19,1606412509,737315893,,-0.995340764523,-0.00713494792581
2020/11/26/18:41:49.781646,20,1606412509,781276941,,-0.997385621071,-0.00637644110247
2020/11/26/18:41:49.825976,21,1606412509,825690031,,-0.989206135273,0.0139075610787
2020/11/26/18:41:49.869999,22,1606412509,869776010,,-0.994318306446,0.00695442501456
2020/11/26/18:41:49.914750,23,1606412509,914434909,,-0.996363222599,-0.00138224486727
2020/11/26/18:41:49.958694,24,1606412509,958291053,,-0.995340764523,-0.00171425228473
2020/11/26/18:41:50.001975,25,1606412510,1712083,,-1.0004529953,-0.0134206069633
2020/11/26/18:41:50.047410,26,1606412510,47060966,,-0.999430477619,-0.0129957096651
2020/11/26/18:41:50.090395,27,1606412510,90033054,,-0.993295907974,0.00346173509024
2020/11/26/18:41:50.135080,28,1606412510,134680986,,-0.997385621071,-0.00071183667751
2020/11/26/18:41:50.178605,29,1606412510,178095102,,-0.996363222599,0.000287275674054
2020/11/26/18:41:50.222499,30,1606412510,222202062,,-0.998408079147,-0.00416630646214
2020/11/26/18:41:50.266800,31,1606412510,266361951,,-0.998408079147,-0.00505851535127
2020/11/26/18:41:50.311639,32,1606412510,311333894,,-0.994318306446,0.00496407831088
2020/11/26/18:41:50.354673,33,1606412510,354370117,,-1.0004529953,-0.0065400484018
2020/11/26/18:41:50.398657,34,1606412510,397979974,,-0.991250991821,0.0117485430092
2020/11/26/18:41:50.443819,35,1606412510,443346977,,-0.996363222599,0.00453659892082
2020/11/26/18:41:50.487036,36,1606412510,486476898,,-0.997385621071,-0.00112039409578
2020/11/26/18:41:50.530232,37,1606412510,529783010,,-0.999430477619,-0.00772463949397
2020/11/26/18:41:50.577794,38,1606412510,577328920,,-0.991250991821,0.0102760531008
2020/11/26/18:41:50.620452,39,1606412510,619966030,,-0.995340764523,0.00534693477675
2020/11/26/18:41:50.663918,40,1606412510,663474082,,-0.995340764523,0.0027660576161
2020/11/26/18:41:50.707293,41,1606412510,706983089,,-0.999430477619,-0.00811908021569
2020/11/26/18:41:50.751653,42,1606412510,751209974,,-0.995340764523,-0.00111054640729
2020/11/26/18:41:50.796408,43,1606412510,795983076,,-0.994318306446,0.00390944629908
2020/11/26/18:41:50.840423,44,1606412510,839952945,,-0.993295907974,0.0074246157892
2020/11/26/18:41:50.884760,45,1606412510,884316921,,-0.993295907974,0.00745321484283
2020/11/26/18:41:50.931240,46,1606412510,930845022,,-0.992273449898,0.00862768664956
2020/11/26/18:41:50.972292,47,1606412510,971831083,,-0.994318306446,0.00290223537013
2020/11/26/18:41:51.021103,48,1606412511,20622014,,-0.991250991821,0.0075323227793
2020/11/26/18:41:51.060914,49,1606412511,60517072,,-0.992273449898,0.0055645829998
2020/11/26/18:41:51.106168,50,1606412511,105746984,,-1.0004529953,-0.0151297478005
2020/11/26/18:41:51.149558,51,1606412511,149036884,,-0.999430477619,-0.0174969285727
2020/11/26/18:41:51.194175,52,1606412511,193828105,,-0.995340764523,-0.00596632855013
2020/11/26/18:41:51.239352,53,1606412511,238940000,,-0.995340764523,-0.000937413307838
2020/11/26/18:41:51.282644,54,1606412511,282337903,,-0.999430477619,-0.00852652173489
2020/11/26/18:41:51.326875,55,1606412511,326435089,,-0.996363222599,-0.00267878756858
2020/11/26/18:41:51.371009,56,1606412511,370517969,,-1.00147533417,-0.0120542161167
2020/11/26/18:41:51.414410,57,1606412511,414097070,,-0.999430477619,-0.00862154737115
2020/11/26/18:41:51.459199,58,1606412511,458743095,,-0.994318306446,0.00580420903862
2020/11/26/18:41:51.503918,59,1606412511,503422021,,-0.995340764523,0.00763104576617
2020/11/26/18:41:51.547707,60,1606412511,547385931,,-0.995340764523,0.00700931297615
2020/11/26/18:41:51.591393,61,1606412511,590984106,,-0.991250991821,0.0151584958658
2020/11/26/18:41:51.636147,62,1606412511,635899066,,-0.994318306446,0.00848803017288
2020/11/26/18:41:51.680521,63,1606412511,680155038,,-0.993295907974,0.00707476306707
2020/11/26/18:41:51.724390,64,1606412511,724096059,,-0.992273449898,0.00781617686152
2020/11/26/18:41:51.768678,65,1606412511,768326997,,-0.997385621071,-0.0050881379284
2020/11/26/18:41:51.812934,66,1606412511,812601089,,-0.993295907974,0.000722160679288
2020/11/26/18:41:51.857789,67,1606412511,857511997,,-0.996363222599,-0.00450391555205
2020/11/26/18:41:51.902368,68,1606412511,902096986,,-0.996363222599,-0.00560563895851
2020/11/26/18:41:51.946841,69,1606412511,946508884,,-0.997385621071,-0.00745274452493
2020/11/26/18:41:51.990052,70,1606412511,989669084,,-0.996363222599,-0.00451696012169
2020/11/26/18:41:52.034915,71,1606412512,34488916,,-0.998408079147,-0.00749460048974
2020/11/26/18:41:52.078521,72,1606412512,78160047,,-0.995340764523,-0.000182028132258
2020/11/26/18:41:52.123506,73,1606412512,123208999,,-0.998408079147,-0.00473482534289
2020/11/26/18:41:52.167055,74,1606412512,166760921,,-0.993295907974,0.00633153552189
2020/11/26/18:41:52.211927,75,1606412512,211564064,,-0.998408079147,-0.00268280971795
2020/11/26/18:41:52.256723,76,1606412512,256314992,,-0.994318306446,0.0040843016468
2020/11/26/18:41:52.299343,77,1606412512,298896074,,-0.993295907974,0.0081917187199
2020/11/26/18:41:52.360115,78,1606412512,359817981,,-1.0004529953,-0.00832389015704
2020/11/26/18:41:52.387538,79,1606412512,387077093,,-0.993295907974,0.00382664892823
2020/11/26/18:41:52.431836,80,1606412512,431520938,,-0.990228593349,0.014623709023
2020/11/26/18:41:52.474919,81,1606412512,474577903,,-0.990228593349,0.0161320157349
2020/11/26/18:41:52.520080,82,1606412512,519682884,,-0.993295907974,0.00700996629894
2020/11/26/18:41:52.562488,83,1606412512,562161922,,-0.998408079147,-0.00925140175968
2020/11/26/18:41:52.606897,84,1606412512,606477022,,-0.995340764523,-0.00641433428973
2020/11/26/18:41:52.651290,85,1606412512,650868892,,-0.993295907974,0.00040515550063
2020/11/26/18:41:52.695099,86,1606412512,694705963,,-0.996363222599,-0.00439947238192
2020/11/26/18:41:52.738996,87,1606412512,738784074,,-0.995340764523,-0.00302208843641
2020/11/26/18:41:52.784644,88,1606412512,784291982,,-0.999430477619,-0.0115896463394
2020/11/26/18:41:52.831167,89,1606412512,830730915,,-0.993295907974,0.00159801379777
2020/11/26/18:41:52.872113,90,1606412512,871865034,,-0.998408079147,-0.00588449090719
2020/11/26/18:41:52.917037,91,1606412512,916608095,,-0.992273449898,0.00670067034662
2020/11/26/18:41:52.960425,92,1606412512,959918022,,-0.996363222599,0.00055985362269
2020/11/26/18:41:53.004694,93,1606412513,4352092,,-0.995340764523,0.000658039178234
2020/11/26/18:41:53.049944,94,1606412513,49604892,,-0.991250991821,0.0101392967626
2020/11/26/18:41:53.093099,95,1606412513,92768907,,-0.999430477619,-0.00718049751595
2020/11/26/18:41:53.137706,96,1606412513,137228012,,-0.999430477619,-0.0122056864202
2020/11/26/18:41:53.182267,97,1606412513,181967020,,-0.992273449898,0.00469169020653
2020/11/26/18:41:53.226099,98,1606412513,225714921,,-0.993295907974,0.00745875528082
2020/11/26/18:41:53.270518,99,1606412513,270193099,,-0.995340764523,0.00245192041621
2020/11/26/18:41:53.315168,100,1606412513,314610958,,-0.993295907974,0.00504291476682
2020/11/26/18:41:53.358356,101,1606412513,358165025,,-0.991250991821,0.00989069230855
2020/11/26/18:41:53.404565,102,1606412513,404228925,,-0.992273449898,0.00760316150263
2020/11/26/18:41:53.446958,103,1606412513,446708917,,-0.998408079147,-0.00871347263455
2020/11/26/18:41:53.490724,104,1606412513,490334987,,-0.996363222599,-0.00831233989447
2020/11/26/18:41:53.534694,105,1606412513,534348011,,-1.00147533417,-0.0186886712909
2020/11/26/18:41:53.578884,106,1606412513,578597068,,-0.993295907974,-0.000280883599771
2020/11/26/18:41:53.623613,107,1606412513,623296976,,-0.996363222599,-0.000931526592467
2020/11/26/18:41:53.668375,108,1606412513,667948007,,-0.995340764523,0.00136966106948
2020/11/26/18:41:53.711511,109,1606412513,711251020,,-0.997385621071,-0.00279634841718
2020/11/26/18:41:53.756518,110,1606412513,756201982,,-0.995340764523,0.000938355748076
2020/11/26/18:41:53.801865,111,1606412513,801512002,,-0.997385621071,-0.0026413903106
2020/11/26/18:41:53.844826,112,1606412513,844485044,,-0.994318306446,0.00365202664398
