time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/17:48:56.161262,2,1606409336,161062955,,-0.419709682465,0.222402125597
2020/11/26/17:48:56.200998,3,1606409336,200750112,,-0.415619939566,0.208381637931
2020/11/26/17:48:56.246373,4,1606409336,246053934,,-0.419709682465,0.159501686692
2020/11/26/17:48:56.289798,5,1606409336,289509057,,-0.422776997089,0.109496586025
2020/11/26/17:48:56.334701,6,1606409336,334445953,,-0.419709682465,0.0812708288431
2020/11/26/17:48:56.377479,7,1606409336,377207040,,-0.425844311714,0.0437280572951
2020/11/26/17:48:56.422377,8,1606409336,422112941,,-0.427889168262,0.0185165088624
2020/11/26/17:48:56.466745,9,1606409336,466531991,,-0.429934054613,0.00192660791799
2020/11/26/17:48:56.511151,10,1606409336,510710000,,-0.427889168262,0.000535510363989
2020/11/26/17:48:56.555312,11,1606409336,555072069,,-0.439135968685,-0.0262723956257
2020/11/26/17:48:56.600537,12,1606409336,600271940,,-0.43606865406,-0.0242250971496
2020/11/26/17:48:56.643924,13,1606409336,643662929,,-0.435046225786,-0.0171373728663
2020/11/26/17:48:56.688376,14,1606409336,688234090,,-0.443225711584,-0.0309121627361
2020/11/26/17:48:56.732478,15,1606409336,732220888,,-0.446292996407,-0.0378056354821
2020/11/26/17:48:56.776850,16,1606409336,776592969,,-0.448337882757,-0.0388590618968
2020/11/26/17:48:56.821484,17,1606409336,821146965,,-0.441180825233,-0.0162524804473
2020/11/26/17:48:56.865631,18,1606409336,864885091,,-0.452427625656,-0.0317895226181
2020/11/26/17:48:56.910612,19,1606409336,910322904,,-0.449360311031,-0.0249885246158
2020/11/26/17:48:56.952904,20,1606409336,952714920,,-0.458562225103,-0.0399443358183
2020/11/26/17:48:56.998825,21,1606409336,998570919,,-0.455494910479,-0.0315863713622
2020/11/26/17:48:57.041760,22,1606409337,41595935,,-0.461629539728,-0.0377479270101
2020/11/26/17:48:57.086334,23,1606409337,85824966,,-0.461629539728,-0.0337555408478
2020/11/26/17:48:57.130008,24,1606409337,129750013,,-0.460607111454,-0.0245745908469
2020/11/26/17:48:57.174024,25,1606409337,173563003,,-0.464696854353,-0.0268496386707
2020/11/26/17:48:57.218003,26,1606409337,217713117,,-0.464696854353,-0.0233242865652
2020/11/26/17:48:57.261614,27,1606409337,261272907,,-0.467764139175,-0.0254581384361
2020/11/26/17:48:57.306611,28,1606409337,306322097,,-0.463674396276,-0.0125984102488
2020/11/26/17:48:57.350168,29,1606409337,349798917,,-0.469809025526,-0.020262831822
2020/11/26/17:48:57.394050,30,1606409337,393711090,,-0.471853882074,-0.0244216490537
2020/11/26/17:48:57.437748,31,1606409337,437469959,,-0.474921196699,-0.0290856380016
2020/11/26/17:48:57.482553,32,1606409337,482225894,,-0.471853882074,-0.0187767446041
2020/11/26/17:48:57.526915,33,1606409337,526622056,,-0.476966053247,-0.0240313336253
2020/11/26/17:48:57.570721,34,1606409337,570440053,,-0.483100682497,-0.0362475886941
2020/11/26/17:48:57.614995,35,1606409337,614741086,,-0.480033367872,-0.027491858229
2020/11/26/17:48:57.659025,36,1606409337,658736944,,-0.477988511324,-0.0151836918667
2020/11/26/17:48:57.703626,37,1606409337,703460931,,-0.480033367872,-0.0131417065859
2020/11/26/17:48:57.749254,38,1606409337,748949050,,-0.481055796146,-0.0126006780192
2020/11/26/17:48:57.792793,39,1606409337,792421102,,-0.482078254223,-0.0127621516585
2020/11/26/17:48:57.838648,40,1606409337,838444948,,-0.486167997122,-0.0202575959265
2020/11/26/17:48:57.880719,41,1606409337,880500078,,-0.487190425396,-0.0220014192164
2020/11/26/17:48:57.925447,42,1606409337,925251007,,-0.492302596569,-0.030935075134
2020/11/26/17:48:57.977739,43,1606409337,977442026,,-0.492302596569,-0.0290738847107
2020/11/26/17:48:58.013163,44,1606409338,12824058,,-0.490257740021,-0.0189361870289
2020/11/26/17:48:58.058071,45,1606409338,57722091,,-0.496392339468,-0.0265409369022
2020/11/26/17:48:58.101645,46,1606409338,101340055,,-0.493325024843,-0.017788650468
2020/11/26/17:48:58.146279,47,1606409338,145983934,,-0.497414767742,-0.0212798435241
2020/11/26/17:48:58.189838,48,1606409338,189604997,,-0.502526938915,-0.0309357028455
