time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
1970/01/01/01:01:02.095000,1,62,95000000,,0,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:01:12.095000,2,72,95000000,,0,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:02:13.097000,3,133,96000000,,0,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:02:23.097000,4,143,97000000,,0,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:03:24.100000,5,204,99000000,,0,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:03:34.099000,6,214,99000000,,0,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:04:35.101000,7,275,101000000,,1,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:04:45.101000,8,285,101000000,,1,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:05:46.103000,9,346,103000000,,1,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:05:56.104000,10,356,103000000,,1,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:06:57.106000,11,417,106000000,,1,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:07:07.106000,12,427,106000000,,1,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:08:08.108000,13,488,107000000,,2,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:08:18.109000,14,498,109000000,,2,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:09:19.110000,15,559,110000000,,2,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:09:29.110000,16,569,110000000,,2,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:10:30.112000,17,630,111000000,,2,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:10:40.113000,18,640,112000000,,2,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:11:41.114000,19,701,114000000,,3,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:11:51.115000,20,711,115000000,,3,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:12:52.118000,21,772,117000000,,3,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:13:02.118000,22,782,118000000,,3,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:14:03.120000,23,843,120000000,,3,7,1.0,-0.649999976158,0.0,False
1970/01/01/01:14:13.122000,24,853,120000000,,3,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:15:14.126000,25,914,125000000,,1,1,0.10000000149,-0.5,0.0,True
