time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
1970/01/01/01:00:01.779000,1,1,779000000,,-0.304923146963,0.0
1970/01/01/01:00:01.800000,2,1,799000000,,-0.292299091816,0.0
1970/01/01/01:00:01.822000,3,1,821000000,,-0.315526753664,0.380784988403
1970/01/01/01:00:01.842000,4,1,841000000,,-0.306514978409,0.612083435059
1970/01/01/01:00:01.863000,5,1,863000000,,-0.291712850332,0.818185448647
1970/01/01/01:00:01.884000,6,1,883000000,,-0.300975292921,0.966557741165
1970/01/01/01:00:01.905000,7,1,905000000,,-0.292893707752,1.05014407635
1970/01/01/01:00:01.926000,8,1,925000000,,-0.29981559515,1.08744323254
1970/01/01/01:00:01.947000,9,1,947000000,,-0.31659963727,1.06907105446
1970/01/01/01:00:01.968000,10,1,967000000,,-0.306508928537,0.988197207451
1970/01/01/01:00:01.989000,11,1,989000000,,-0.312344789505,0.896328568459
1970/01/01/01:00:02.010000,12,2,10000000,,-0.31367495656,0.779669880867
1970/01/01/01:00:02.031000,13,2,31000000,,-0.3034684062,0.652241647243
1970/01/01/01:00:02.052000,14,2,52000000,,-0.295429080725,0.540781915188
1970/01/01/01:00:02.073000,15,2,73000000,,-0.300067961216,0.442827641964
1970/01/01/01:00:02.094000,16,2,94000000,,-0.323014110327,0.337451994419
1970/01/01/01:00:02.115000,17,2,115000000,,-0.310116916895,0.19777558744
1970/01/01/01:00:02.136000,18,2,135000000,,-0.29319819808,0.102370209992
1970/01/01/01:00:02.157000,19,2,156000000,,-0.307648807764,0.0449153222144
1970/01/01/01:00:02.178000,20,2,178000000,,-0.29230478406,-0.0330695100129
1970/01/01/01:00:02.199000,21,2,199000000,,-0.297702670097,-0.0660099685192
1970/01/01/01:00:02.220000,22,2,220000000,,-0.309390902519,-0.100263878703
1970/01/01/01:00:02.241000,23,2,241000000,,-0.314122438431,-0.145353034139
1970/01/01/01:00:02.262000,24,2,261000000,,-0.324897229671,-0.18365393579
1970/01/01/01:00:02.284000,25,2,283000000,,-0.31148865819,-0.231782883406
1970/01/01/01:00:02.304000,26,2,304000000,,-0.297816008329,-0.2370813936
1970/01/01/01:00:02.325000,27,2,324000000,,-0.32108387351,-0.210167735815
1970/01/01/01:00:02.346000,28,2,346000000,,-0.30597615242,-0.220448479056
1970/01/01/01:00:02.367000,29,2,367000000,,-0.302634090185,-0.193573012948
1970/01/01/01:00:02.388000,30,2,387000000,,-0.308851122856,-0.160066634417
1970/01/01/01:00:02.409000,31,2,408000000,,-0.296514540911,-0.136026024818
1970/01/01/01:00:02.430000,32,2,430000000,,-0.305644512177,-0.0873498991132
