time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/18:07:18.161689,1,1606410438,161237955,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:09:13.525679,2,1606410553,524549961,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:10:15.495887,3,1606410615,495521068,,1,1,0.0280000008643,-0.5,0.20000000298,False
2020/11/26/18:11:09.266531,4,1606410669,266293048,,1,0,0.0280000008643,-0.5,0.20000000298,False
2020/11/26/18:11:31.041961,5,1606410691,41729927,,1,0,0.0299999993294,-0.5,0.20000000298,False
2020/11/26/18:11:32.709024,6,1606410692,708693027,,1,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:12:15.915941,7,1606410735,915735006,,0,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:14:23.314775,8,1606410863,314168930,,0,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:14:23.640992,9,1606410863,640698909,,0,7,1.0,0.0,0.0,False
2020/11/26/18:14:33.650755,10,1606410873,648786067,,0,0,0.019999999553,-0.5,0.20000000298,False
2020/11/26/18:15:34.713027,11,1606410934,712749958,,0,7,1.0,0.0,0.0,False
2020/11/26/18:15:44.722842,12,1606410944,722057104,,0,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:16:45.785370,13,1606411005,784782886,,0,7,1.0,0.0,0.0,False
2020/11/26/18:16:55.793378,14,1606411015,792792081,,0,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:17:56.857367,15,1606411076,856724023,,0,7,1.0,0.0,0.0,False
2020/11/26/18:18:06.867486,16,1606411086,866575002,,0,2,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:19:07.929148,17,1606411147,928754091,,1,7,1.0,0.0,0.0,False
2020/11/26/18:19:17.938267,18,1606411157,936791896,,1,0,0.019999999553,-0.5,0.20000000298,False
2020/11/26/18:20:19.002491,19,1606411219,2120018,,1,7,1.0,0.0,0.0,False
2020/11/26/18:20:29.012821,20,1606411229,11192083,,1,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:21:30.078640,21,1606411290,78120946,,1,7,1.0,0.0,0.0,False
2020/11/26/18:21:40.085379,22,1606411300,84765911,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:22:41.149389,23,1606411361,148789882,,1,7,1.0,0.0,0.0,False
2020/11/26/18:22:51.157378,24,1606411371,156817913,,1,2,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:23:52.227029,25,1606411432,226290941,,1,1,0.10000000149,-0.5,0.0,True
