time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:01:01.445000,1,61,444000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.446000,2,61,444000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.464000,3,61,464000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.485000,4,61,484000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.504000,5,61,504000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.525000,6,61,525000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.544000,7,61,544000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.564000,8,61,564000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.585000,9,61,584000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.604000,10,61,604000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.624000,11,61,624000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.644000,12,61,644000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.665000,13,61,664000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.685000,14,61,684000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.704000,15,61,704000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.724000,16,61,724000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.745000,17,61,744000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.764000,18,61,764000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.785000,19,61,784000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.805000,20,61,804000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.825000,21,61,824000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.846000,22,61,845000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.864000,23,61,864000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.885000,24,61,885000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.904000,25,61,904000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.925000,26,61,924000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.944000,27,61,944000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.965000,28,61,964000000,,-0.5,0.0,0.0
1970/01/01/01:01:01.985000,29,61,984000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.005000,30,62,5000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.024000,31,62,24000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.044000,32,62,44000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.065000,33,62,64000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.084000,34,62,84000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.105000,35,62,105000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.124000,36,62,124000000,,-0.5,0.0,0.0
