time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:41:53.932769,1,1606412513,930165052,,0.0,0.0
2020/11/26/18:41:53.947128,2,1606412513,946886062,,0.0,0.0
2020/11/26/18:41:53.967609,3,1606412513,967004060,,0.0,0.0
2020/11/26/18:41:53.987077,4,1606412513,986825942,,0.0,0.0
2020/11/26/18:41:54.007322,5,1606412514,7034063,,0.0,0.0
2020/11/26/18:41:54.027115,6,1606412514,26803016,,0.0,0.0
2020/11/26/18:41:54.047134,7,1606412514,46911001,,0.0,0.0
2020/11/26/18:41:54.067981,8,1606412514,67189931,,0.0,0.0
2020/11/26/18:41:54.087294,9,1606412514,86908102,,0.0,0.0
2020/11/26/18:41:54.107097,10,1606412514,106928110,,0.0,0.0
2020/11/26/18:41:54.127233,11,1606412514,126935005,,0.0,0.0
2020/11/26/18:41:54.147156,12,1606412514,146986961,,0.0,0.0
2020/11/26/18:41:54.167150,13,1606412514,166914939,,0.0,0.0
2020/11/26/18:41:54.187279,14,1606412514,187102079,,0.0,0.0
2020/11/26/18:41:54.207376,15,1606412514,207113027,,0.0,0.0
2020/11/26/18:41:54.227134,16,1606412514,226882934,,0.0,0.0
2020/11/26/18:41:54.247199,17,1606412514,246829032,,0.0,0.0
2020/11/26/18:41:54.267335,18,1606412514,267024040,,0.0,0.0
2020/11/26/18:41:54.287208,19,1606412514,286942005,,0.0,0.0
2020/11/26/18:41:54.307214,20,1606412514,306972026,,0.0,0.0
2020/11/26/18:41:54.327037,21,1606412514,326889991,,0.0,0.0
2020/11/26/18:41:54.347110,22,1606412514,346889972,,0.0,0.0
2020/11/26/18:41:54.367426,23,1606412514,367110967,,0.0,0.0
2020/11/26/18:41:54.387163,24,1606412514,386918067,,0.0,0.0
2020/11/26/18:41:54.407144,25,1606412514,406922101,,0.0,0.0
2020/11/26/18:41:54.427336,26,1606412514,427042007,,0.0,0.0
2020/11/26/18:41:54.449649,27,1606412514,447495937,,0.0,0.0
2020/11/26/18:41:54.467887,28,1606412514,467266082,,0.0,0.0
2020/11/26/18:41:54.487226,29,1606412514,486876964,,0.0,0.0
2020/11/26/18:41:54.507106,30,1606412514,506886959,,0.0,0.0
2020/11/26/18:41:54.528396,31,1606412514,527492046,,0.0,0.0
2020/11/26/18:41:54.547786,32,1606412514,547235012,,0.0,0.0
2020/11/26/18:41:54.567807,33,1606412514,567430019,,0.0,0.0
2020/11/26/18:41:54.587225,34,1606412514,586883068,,0.0,0.0
2020/11/26/18:41:54.607316,35,1606412514,606993913,,0.0,0.0
2020/11/26/18:41:54.627212,36,1606412514,626909017,,0.0,0.0
2020/11/26/18:41:54.648517,37,1606412514,647794961,,0.0,0.0
