time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:34:24.399222,1,1606412064,398943901,,-0.0445050895214,-0.00299888732843
2020/11/26/18:34:24.419188,2,1606412064,418920040,,-0.0414377748966,0.00982233416289
2020/11/26/18:34:24.439132,3,1606412064,438932895,,-0.0414377748966,0.00982233416289
2020/11/26/18:34:24.459341,4,1606412064,458894968,,-0.0414377748966,0.0127195445821
2020/11/26/18:34:24.479202,5,1606412064,478925943,,-0.0414377748966,0.0127195445821
2020/11/26/18:34:24.499317,6,1606412064,499079942,,-0.0373480319977,0.0211956314743
2020/11/26/18:34:24.519382,7,1606412064,519052982,,-0.0373480319977,0.0211956314743
2020/11/26/18:34:24.539228,8,1606412064,538969993,,-0.039392888546,0.0159678887576
2020/11/26/18:34:24.559170,9,1606412064,558865070,,-0.039392888546,0.0159678887576
2020/11/26/18:34:24.579265,10,1606412064,579051971,,-0.0424602031708,0.00441505014896
2020/11/26/18:34:24.599663,11,1606412064,599292993,,-0.0424602031708,0.00441505014896
2020/11/26/18:34:24.619355,12,1606412064,619026899,,-0.0424602031708,0.00441505014896
2020/11/26/18:34:24.639316,13,1606412064,639000892,,-0.0475723743439,-0.0122243864462
2020/11/26/18:34:24.659248,14,1606412064,659025907,,-0.0475723743439,-0.0122243864462
2020/11/26/18:34:24.679196,15,1606412064,679018020,,-0.0445050895214,-0.00905864778906
2020/11/26/18:34:24.699176,16,1606412064,699001073,,-0.0445050895214,-0.00905864778906
2020/11/26/18:34:24.719272,17,1606412064,718899011,,-0.0496172606945,-0.0183514207602
2020/11/26/18:34:24.739304,18,1606412064,738903999,,-0.0496172606945,-0.0183514207602
2020/11/26/18:34:24.759130,19,1606412064,758928060,,-0.039392888546,0.00514653930441
2020/11/26/18:34:24.779343,20,1606412064,779083967,,-0.039392888546,0.00514653930441
2020/11/26/18:34:24.799148,21,1606412064,798913002,,-0.0383704602718,0.0149584906176
2020/11/26/18:34:24.819240,22,1606412064,818957090,,-0.0383704602718,0.0149584906176
2020/11/26/18:34:24.839255,23,1606412064,838891029,,-0.0383704602718,0.0149584906176
2020/11/26/18:34:24.859300,24,1606412064,859023094,,-0.0424602031708,0.00648851552978
2020/11/26/18:34:24.879299,25,1606412064,878999948,,-0.0424602031708,0.00648851552978
2020/11/26/18:34:24.899364,26,1606412064,899008989,,-0.0434826314449,7.02808538335e-05
2020/11/26/18:34:24.919343,27,1606412064,919028997,,-0.0434826314449,7.02808538335e-05
2020/11/26/18:34:24.939226,28,1606412064,939004898,,-0.0434826314449,-0.00222819880582
2020/11/26/18:34:24.959253,29,1606412064,959034919,,-0.0434826314449,-0.00222819880582
2020/11/26/18:34:24.979260,30,1606412064,978899002,,-0.0373480319977,0.0115561382845
2020/11/26/18:34:24.999229,31,1606412064,998967885,,-0.0373480319977,0.0115561382845
2020/11/26/18:34:25.019232,32,1606412065,18979072,,-0.0373480319977,0.0115561382845
2020/11/26/18:34:25.039412,33,1606412065,39164066,,-0.0414377748966,0.00509075121954
2020/11/26/18:34:25.059220,34,1606412065,59015989,,-0.0414377748966,0.00509075121954
2020/11/26/18:34:25.079286,35,1606412065,79041957,,-0.0424602031708,-0.00039452969213
2020/11/26/18:34:25.099331,36,1606412065,98921060,,-0.0424602031708,-0.00039452969213
