time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/18:34:31.262442,1,1606412071,262027978,,0,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:34:31.673271,2,1606412071,671797990,,0,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:34:32.341375,3,1606412072,340758085,,0,7,1.0,0.0,0.0,False
2020/11/26/18:34:42.349165,4,1606412082,348845005,,0,0,0.019999999553,-0.5,0.20000000298,False
2020/11/26/18:35:43.413238,5,1606412143,412724018,,0,7,1.0,0.0,0.0,False
2020/11/26/18:35:53.422264,6,1606412153,421698093,,0,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:36:54.484966,7,1606412214,484724044,,0,7,1.0,0.0,0.0,False
2020/11/26/18:37:04.494029,8,1606412224,492820024,,0,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:38:05.556989,9,1606412285,556715011,,0,7,1.0,0.0,0.0,False
2020/11/26/18:38:15.566853,10,1606412295,566365003,,0,2,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:39:16.634300,11,1606412356,633538961,,1,1,0.10000000149,-0.5,0.0,True
