time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.setpoint
2020/11/26/18:41:48.658573,1,1606412508,657962083,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.678293,2,1606412508,677968978,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.698325,3,1606412508,697984933,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.718790,4,1606412508,718456983,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.738396,5,1606412508,738008022,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.758203,6,1606412508,757941007,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.778402,7,1606412508,777992963,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.798391,8,1606412508,798017024,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.818295,9,1606412508,817986011,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.838356,10,1606412508,837975025,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.858434,11,1606412508,858071088,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.878312,12,1606412508,877979993,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.898404,13,1606412508,898036956,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.918462,14,1606412508,918046951,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.938338,15,1606412508,938011884,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.958339,16,1606412508,958010911,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.978328,17,1606412508,977962017,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:48.998415,18,1606412508,998025894,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.018406,19,1606412509,18049955,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.038374,20,1606412509,37992000,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.058398,21,1606412509,58008909,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.078331,22,1606412509,77972888,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.098381,23,1606412509,97981929,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.118409,24,1606412509,117986917,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.138345,25,1606412509,137989997,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.158386,26,1606412509,158004045,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.178371,27,1606412509,178031921,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.198401,28,1606412509,198031902,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.218290,29,1606412509,218014001,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.238252,30,1606412509,237967014,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.258307,31,1606412509,258001089,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.278351,32,1606412509,277997016,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.298327,33,1606412509,297988891,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.318566,34,1606412509,318038940,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.338356,35,1606412509,337980985,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.358378,36,1606412509,357985973,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.378305,37,1606412509,377965927,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.398389,38,1606412509,398027896,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.418331,39,1606412509,418020963,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.441329,40,1606412509,441056966,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.458271,41,1606412509,457990884,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.478467,42,1606412509,478064060,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.498418,43,1606412509,498018026,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.518448,44,1606412509,518022060,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.538465,45,1606412509,538094997,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.558263,46,1606412509,558001041,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.578386,47,1606412509,578056097,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.598394,48,1606412509,598009109,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.618442,49,1606412509,617993116,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.638385,50,1606412509,638087034,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.658390,51,1606412509,658010959,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:41:49.678411,52,1606412509,677992105,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
