time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/17:50:29.463370,1,1606409429,462635993,,0,3,0.0500000007451,-0.600000023842,0.20000000298,False
2020/11/26/17:50:30.158463,2,1606409430,157838106,,0,7,1.0,0.0,0.0,False
2020/11/26/17:50:40.167265,3,1606409440,165520906,,0,0,0.10000000149,-0.5,0.20000000298,False
2020/11/26/17:51:41.231746,4,1606409501,230658054,,0,7,1.0,0.0,0.0,False
2020/11/26/17:51:51.241754,5,1606409511,241231918,,0,0,0.15000000596,-0.5,0.20000000298,False
2020/11/26/17:52:52.309024,6,1606409572,308717966,,0,7,1.0,0.0,0.0,False
2020/11/26/17:53:02.317389,7,1606409582,316761970,,0,1,0.10000000149,-0.5,0.20000000298,False
2020/11/26/17:54:03.381695,8,1606409643,380779027,,0,7,1.0,0.0,0.0,False
2020/11/26/17:54:13.389112,9,1606409653,388721942,,0,2,0.15000000596,-0.5,0.20000000298,False
2020/11/26/17:55:14.453052,10,1606409714,452728986,,1,7,1.0,0.0,0.0,False
2020/11/26/17:55:24.463187,11,1606409724,462956905,,1,0,0.10000000149,-0.5,0.20000000298,False
2020/11/26/17:56:25.525038,12,1606409785,524703025,,1,7,1.0,0.0,0.0,False
2020/11/26/17:56:35.533374,13,1606409795,532803058,,1,0,0.15000000596,-0.5,0.20000000298,False
2020/11/26/17:57:36.597454,14,1606409856,596729993,,1,7,1.0,0.0,0.0,False
2020/11/26/17:57:46.606051,15,1606409866,605570077,,1,1,0.10000000149,-0.5,0.20000000298,False
2020/11/26/17:58:47.671223,16,1606409927,670860052,,1,7,1.0,0.0,0.0,False
2020/11/26/17:58:57.681010,17,1606409937,680697917,,1,2,0.15000000596,-0.5,0.20000000298,False
2020/11/26/17:59:58.749006,18,1606409998,748228073,,1,1,0.10000000149,-0.5,0.0,True
