time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:34:19.584721,5,1606412059,584465026,,-0.452427625656,0.0961874574423
2020/11/26/18:34:19.629116,6,1606412059,628741025,,-0.452427625656,0.0685967430472
2020/11/26/18:34:19.673391,7,1606412059,673089981,,-0.454472482204,0.0427230075002
2020/11/26/18:34:19.718560,8,1606412059,718332052,,-0.451405197382,0.0339589938521
2020/11/26/18:34:19.762539,9,1606412059,762227058,,-0.452427625656,0.0228925384581
2020/11/26/18:34:19.805851,10,1606412059,805555105,,-0.454472482204,0.0105628399178
2020/11/26/18:34:19.850341,11,1606412059,849944114,,-0.452427625656,0.00925212539732
2020/11/26/18:34:19.894450,12,1606412059,894126892,,-0.454472482204,0.00254273833707
2020/11/26/18:34:19.938875,13,1606412059,938590049,,-0.452427625656,0.0045037730597
2020/11/26/18:34:19.982926,14,1606412059,982569932,,-0.448337882757,0.0139773134142
2020/11/26/18:34:20.027304,15,1606412060,26940107,,-0.451405197382,0.00791696552187
2020/11/26/18:34:20.070512,16,1606412060,70200920,,-0.454472482204,-0.00264279870316
2020/11/26/18:34:20.114588,17,1606412060,114193916,,-0.452427625656,-0.00118990777992
2020/11/26/18:34:20.158690,18,1606412060,158410072,,-0.450382739305,0.00428653275594
2020/11/26/18:34:20.202996,19,1606412060,202672958,,-0.451405197382,0.00312322797254
2020/11/26/18:34:20.247218,20,1606412060,246788024,,-0.454472482204,-0.0048995600082
2020/11/26/18:34:20.290874,21,1606412060,290565013,,-0.460607111454,-0.0212032534182
2020/11/26/18:34:20.335766,22,1606412060,335370063,,-0.451405197382,-0.00219689356163
2020/11/26/18:34:20.379700,23,1606412060,379156112,,-0.451405197382,0.0048938873224
2020/11/26/18:34:20.428263,24,1606412060,427938938,,-0.45345005393,0.00185498769861
2020/11/26/18:34:20.468011,25,1606412060,467717885,,-0.452427625656,0.00285418541171
2020/11/26/18:34:20.511432,26,1606412060,511142969,,-0.456517368555,-0.00675569055602
2020/11/26/18:34:20.555683,27,1606412060,555288076,,-0.454472482204,-0.00430395407602
2020/11/26/18:34:20.599362,28,1606412060,599087953,,-0.449360311031,0.00910816155374
2020/11/26/18:34:20.643340,29,1606412060,642929077,,-0.451405197382,0.00766664743423
2020/11/26/18:34:20.688277,30,1606412060,687979936,,-0.455494910479,-0.00358939333819
2020/11/26/18:34:20.732357,31,1606412060,732069969,,-0.456517368555,-0.00937508605421
2020/11/26/18:34:20.777153,32,1606412060,776783943,,-0.451405197382,0.00204616063274
2020/11/26/18:34:20.821871,33,1606412060,821577072,,-0.450382739305,0.00809296779335
2020/11/26/18:34:20.867187,34,1606412060,866832017,,-0.456517368555,-0.00542317098007
2020/11/26/18:34:20.909948,35,1606412060,909615039,,-0.456517368555,-0.00926009658724
2020/11/26/18:34:20.953199,36,1606412060,952896118,,-0.454472482204,-0.00436122948304
2020/11/26/18:34:20.997975,37,1606412060,997704029,,-0.45345005393,0.000488245743327
2020/11/26/18:34:21.056945,38,1606412061,56643009,,-0.455494910479,-0.00266204029322
2020/11/26/18:34:21.086231,39,1606412061,85933923,,-0.45345005393,0.00141846074257
2020/11/26/18:34:21.131560,40,1606412061,131258964,,-0.45345005393,0.00261808908544
2020/11/26/18:34:21.176603,41,1606412061,176280021,,-0.455494910479,-0.00216099433601
2020/11/26/18:34:21.219721,42,1606412061,219439983,,-0.454472482204,-0.00109850487206
2020/11/26/18:34:21.263607,43,1606412061,263309955,,-0.456517368555,-0.00531087815762
2020/11/26/18:34:21.308291,44,1606412061,307873010,,-0.457539796829,-0.0082952613011
2020/11/26/18:34:21.353474,45,1606412061,353122949,,-0.457539796829,-0.00800532009453
2020/11/26/18:34:21.396036,46,1606412061,395694971,,-0.455494910479,-0.00184085883666
2020/11/26/18:34:21.440915,47,1606412061,440624952,,-0.45345005393,0.00537748448551
2020/11/26/18:34:21.484877,48,1606412061,484548091,,-0.452427625656,0.00943937059492
2020/11/26/18:34:21.528940,49,1606412061,528529882,,-0.451405197382,0.0117082213983
2020/11/26/18:34:21.573684,50,1606412061,573353052,,-0.454472482204,0.00331948278472
2020/11/26/18:34:21.618442,51,1606412061,618145942,,-0.456517368555,-0.00476616807282
2020/11/26/18:34:21.661666,52,1606412061,661314010,,-0.451405197382,0.0049915863201
2020/11/26/18:34:21.705936,53,1606412061,705432891,,-0.452427625656,0.00524135865271
2020/11/26/18:34:21.750702,54,1606412061,750386953,,-0.451405197382,0.00685520144179
2020/11/26/18:34:21.794058,55,1606412061,793678045,,-0.456517368555,-0.00557303987443
2020/11/26/18:34:21.839041,56,1606412061,838676929,,-0.457539796829,-0.0114439614117
2020/11/26/18:34:21.882752,57,1606412061,882340908,,-0.454472482204,-0.00450690230355
2020/11/26/18:34:21.931910,58,1606412061,931562900,,-0.455494910479,-0.00369020621292
2020/11/26/18:34:21.972454,59,1606412061,972151041,,-0.458562225103,-0.0099502177909
2020/11/26/18:34:22.019562,60,1606412062,19201993,,-0.452427625656,0.00373928574845
2020/11/26/18:34:22.060963,61,1606412062,60655117,,-0.451405197382,0.0103677287698
