time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
1970/01/01/01:00:00.755000,1,0,754000000,,-0.195076853037,0.0
1970/01/01/01:00:00.761000,2,0,760000000,,-0.195076853037,0.0
1970/01/01/01:00:00.780000,3,0,780000000,,-0.207700908184,0.0
1970/01/01/01:00:00.800000,4,0,800000000,,-0.184473246336,-0.363476574421
1970/01/01/01:00:00.820000,5,0,820000000,,-0.193485021591,-0.609974682331
1970/01/01/01:00:00.841000,6,0,840000000,,-0.208287149668,-0.807120978832
1970/01/01/01:00:00.859000,7,0,860000000,,-0.199024707079,-0.966353774071
1970/01/01/01:00:00.880000,8,0,880000000,,-0.207106292248,-1.04247093201
1970/01/01/01:00:00.901000,9,0,900000000,,-0.20018440485,-1.08672964573
1970/01/01/01:00:00.921000,10,0,921000000,,-0.18340036273,-1.0712698698
1970/01/01/01:00:00.941000,11,0,940000000,,-0.193491071463,-0.985865235329
1970/01/01/01:00:00.960000,12,0,960000000,,-0.187655210495,-0.898692548275
1970/01/01/01:00:00.986000,13,0,985000000,,-0.18632504344,-0.783382773399
1970/01/01/01:00:01.000000,14,1,0,,-0.1965315938,-0.656933307648
1970/01/01/01:00:01.021000,15,1,21000000,,-0.204570919275,-0.551387608051
1970/01/01/01:00:01.040000,16,1,40000000,,-0.199932038784,-0.458452224731
1970/01/01/01:00:01.062000,17,1,62000000,,-0.176985889673,-0.342923909426
1970/01/01/01:00:01.080000,18,1,80000000,,-0.176985889673,-0.342923909426
1970/01/01/01:00:01.101000,19,1,101000000,,-0.189883083105,-0.203094020486
1970/01/01/01:00:01.121000,20,1,120000000,,-0.20680180192,-0.131309762597
1970/01/01/01:00:01.140000,21,1,140000000,,-0.192351192236,-0.055604301393
1970/01/01/01:00:01.160000,22,1,160000000,,-0.20769521594,0.0209074635059
1970/01/01/01:00:01.181000,23,1,180000000,,-0.202297329903,0.0565431825817
1970/01/01/01:00:01.201000,24,1,200000000,,-0.190609097481,0.0933733060956
1970/01/01/01:00:01.221000,25,1,220000000,,-0.185877561569,0.143106147647
1970/01/01/01:00:01.240000,26,1,240000000,,-0.175102770329,0.184819862247
1970/01/01/01:00:01.261000,27,1,260000000,,-0.18851134181,0.229153707623
1970/01/01/01:00:01.281000,28,1,281000000,,-0.202183991671,0.236460447311
1970/01/01/01:00:01.301000,29,1,301000000,,-0.17891612649,0.208618700504
1970/01/01/01:00:01.320000,30,1,320000000,,-0.19402384758,0.218985930085
1970/01/01/01:00:01.340000,31,1,340000000,,-0.197365909815,0.193954244256
1970/01/01/01:00:01.361000,32,1,361000000,,-0.191148877144,0.15867947042
1970/01/01/01:00:01.380000,33,1,380000000,,-0.203485459089,0.136916533113
1970/01/01/01:00:01.401000,34,1,400000000,,-0.194355487823,0.0914928391576
1970/01/01/01:00:01.420000,35,1,420000000,,-0.190710037947,0.0653663277626
1970/01/01/01:00:01.441000,36,1,441000000,,-0.195874154568,0.0487710312009
1970/01/01/01:00:01.460000,37,1,460000000,,-0.18307068944,0.0242213234305
1970/01/01/01:00:01.481000,38,1,481000000,,-0.20344850421,0.0253826826811
1970/01/01/01:00:01.501000,39,1,501000000,,-0.20344850421,0.0253826826811
1970/01/01/01:00:01.520000,40,1,520000000,,-0.21080327034,-0.0101506998762
1970/01/01/01:00:01.541000,41,1,541000000,,-0.207924097776,-0.0520257353783
1970/01/01/01:00:01.561000,42,1,560000000,,-0.20458573103,-0.0810130164027
