time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/17:38:58.559047,1,1606408738,558381080,,1,0,0.15000000596,-0.5,0.20000000298,False
2020/11/26/17:40:09.832423,2,1606408809,832112073,,1,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/17:43:22.708780,3,1606409002,708101034,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/17:45:07.384892,4,1606409107,384352922,,1,3,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/17:45:18.315020,5,1606409118,314055919,,1,3,0.0500000007451,-0.300000011921,0.20000000298,False
2020/11/26/17:45:43.994096,6,1606409143,993379116,,1,3,0.0500000007451,-0.600000023842,0.20000000298,False
2020/11/26/17:46:30.349885,7,1606409190,348994970,,1,3,0.0500000007451,-0.600000023842,0.20000000298,False
2020/11/26/17:46:30.493721,8,1606409190,492830991,,0,7,1.0,0.0,0.0,False
2020/11/26/17:46:40.504039,9,1606409200,503191947,,0,0,0.10000000149,-0.5,0.20000000298,False
2020/11/26/17:47:41.569676,10,1606409261,569220066,,0,7,1.0,0.0,0.0,False
2020/11/26/17:47:51.579504,11,1606409271,577174901,,0,0,0.15000000596,-0.5,0.20000000298,False
