time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.setpoint
1970/01/01/01:00:05.300000,1,5,299000000,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1970/01/01/01:00:05.318000,2,5,318000000,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1970/01/01/01:00:05.343000,3,5,342000000,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1970/01/01/01:00:05.355000,4,5,354000000,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1970/01/01/01:00:05.374000,5,5,374000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.395000,6,5,394000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.415000,7,5,414000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.434000,8,5,434000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.454000,9,5,454000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.475000,10,5,474000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.493000,11,5,494000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.518000,12,5,515000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.535000,13,5,534000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.556000,14,5,556000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.577000,15,5,576000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.595000,16,5,595000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.615000,17,5,614000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.634000,18,5,634000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.655000,19,5,654000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.675000,20,5,674000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.698000,21,5,698000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.714000,22,5,714000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.734000,23,5,734000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.755000,24,5,754000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.779000,25,5,779000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.794000,26,5,794000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.814000,27,5,814000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.835000,28,5,834000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.854000,29,5,854000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.877000,30,5,874000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.894000,31,5,894000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.914000,32,5,914000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.934000,33,5,934000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.955000,34,5,954000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.974000,35,5,974000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:05.995000,36,5,995000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
1970/01/01/01:00:06.014000,37,6,14000000,,"(0.0, 0.0, 0.0, 0.0, -0.33000001311302185, 0.33000001311302185, 0.33000001311302185, -0.33000001311302185)"
