time,.data
1970/01/01/01:00:00.755000,-1.0
1970/01/01/01:00:00.761000,-1.0
1970/01/01/01:00:00.780000,-1.0
1970/01/01/01:00:00.800000,-1.0
1970/01/01/01:00:00.820000,-1.0
1970/01/01/01:00:00.841000,-1.0
1970/01/01/01:00:00.859000,-1.0
1970/01/01/01:00:00.880000,-1.0
1970/01/01/01:00:00.901000,-1.0
1970/01/01/01:00:00.921000,-1.0
1970/01/01/01:00:00.940000,-1.0
1970/01/01/01:00:00.960000,-1.0
1970/01/01/01:00:00.985000,-1.0
1970/01/01/01:00:01.000000,-1.0
1970/01/01/01:00:01.021000,-1.0
1970/01/01/01:00:01.040000,-1.0
1970/01/01/01:00:01.062000,-1.0
1970/01/01/01:00:01.080000,-1.0
1970/01/01/01:00:01.101000,-1.0
1970/01/01/01:00:01.121000,-1.0
1970/01/01/01:00:01.140000,-1.0
1970/01/01/01:00:01.160000,-1.0
1970/01/01/01:00:01.181000,-1.0
1970/01/01/01:00:01.201000,-1.0
1970/01/01/01:00:01.220000,-0.862354952061
1970/01/01/01:00:01.240000,-0.524142697299
1970/01/01/01:00:01.261000,-0.388437582815
1970/01/01/01:00:01.281000,-0.469921077335
1970/01/01/01:00:01.301000,-0.422708086693
1970/01/01/01:00:01.320000,-0.499323740327
1970/01/01/01:00:01.340000,-0.67537554189
1970/01/01/01:00:01.361000,-0.824818761384
1970/01/01/01:00:01.380000,-1.0
1970/01/01/01:00:01.400000,-1.0
1970/01/01/01:00:01.420000,-1.0
1970/01/01/01:00:01.441000,-1.0
1970/01/01/01:00:01.460000,-1.0
1970/01/01/01:00:01.481000,-1.0
1970/01/01/01:00:01.501000,-1.0
1970/01/01/01:00:01.520000,-1.0
1970/01/01/01:00:01.541000,-1.0
1970/01/01/01:00:01.561000,-1.0
1970/01/01/01:00:01.580000,-1.0
1970/01/01/01:00:01.601000,-1.0
1970/01/01/01:00:01.621000,-1.0
1970/01/01/01:00:01.641000,-1.0
1970/01/01/01:00:01.660000,-1.0
1970/01/01/01:00:01.683000,-1.0
1970/01/01/01:00:01.701000,-1.0
1970/01/01/01:00:01.721000,-1.0
1970/01/01/01:00:01.740000,-1.0
1970/01/01/01:00:01.760000,-1.0
1970/01/01/01:00:01.780000,-1.0
1970/01/01/01:00:01.801000,-1.0
1970/01/01/01:00:01.821000,-1.0
1970/01/01/01:00:01.841000,-1.0
1970/01/01/01:00:01.860000,-1.0
1970/01/01/01:00:01.883000,-1.0
1970/01/01/01:00:01.900000,-1.0
1970/01/01/01:00:01.920000,-1.0
1970/01/01/01:00:01.940000,-1.0
1970/01/01/01:00:01.960000,-1.0
1970/01/01/01:00:01.981000,-1.0
1970/01/01/01:00:02.001000,-1.0
1970/01/01/01:00:02.021000,-1.0
1970/01/01/01:00:02.041000,-1.0
1970/01/01/01:00:02.060000,-1.0
1970/01/01/01:00:02.080000,-1.0
1970/01/01/01:00:02.101000,-1.0
1970/01/01/01:00:02.121000,-1.0
1970/01/01/01:00:02.141000,-1.0
1970/01/01/01:00:02.160000,-1.0
1970/01/01/01:00:02.181000,-1.0
1970/01/01/01:00:02.201000,-1.0
1970/01/01/01:00:02.221000,-1.0
1970/01/01/01:00:02.240000,-1.0
1970/01/01/01:00:02.260000,-1.0
1970/01/01/01:00:02.280000,-1.0
1970/01/01/01:00:02.301000,-1.0
1970/01/01/01:00:02.321000,-1.0
1970/01/01/01:00:02.341000,-1.0
1970/01/01/01:00:02.360000,-1.0
1970/01/01/01:00:02.381000,-1.0
1970/01/01/01:00:02.400000,-1.0
1970/01/01/01:00:02.421000,-1.0
1970/01/01/01:00:02.441000,-1.0
1970/01/01/01:00:02.460000,-1.0
1970/01/01/01:00:02.481000,-1.0
1970/01/01/01:00:02.501000,-1.0
