time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:50:37.313939,3,1606413037,313600063,,-0.563873052597,-0.159227773547
2020/11/26/18:50:37.358316,4,1606413037,357923984,,-0.565917909145,-0.130521550775
2020/11/26/18:50:37.402660,5,1606413037,402268886,,-0.563873052597,-0.0943598374724
2020/11/26/18:50:37.445457,6,1606413037,445147991,,-0.561828196049,-0.0618120878935
2020/11/26/18:50:37.490460,7,1606413037,490160942,,-0.564895510674,-0.0471956580877
2020/11/26/18:50:37.535436,8,1606413037,535018920,,-0.567962825298,-0.0415078289807
2020/11/26/18:50:37.578056,9,1606413037,577636003,,-0.563873052597,-0.0232889372855
2020/11/26/18:50:37.622606,10,1606413037,622390031,,-0.562850654125,-0.0106395510957
2020/11/26/18:50:37.667153,11,1606413037,666842937,,-0.562850654125,-0.00445708120242
2020/11/26/18:50:37.710803,12,1606413037,710411071,,-0.563873052597,-0.0039397329092
2020/11/26/18:50:37.755666,13,1606413037,755179882,,-0.562850654125,-0.000716670474503
2020/11/26/18:50:37.800763,14,1606413037,800508975,,-0.555693566799,0.0172255150974
2020/11/26/18:50:37.844099,15,1606413037,843681097,,-0.560805737972,0.00880049075931
2020/11/26/18:50:37.889585,16,1606413037,889221906,,-0.565917909145,-0.00749975023791
2020/11/26/18:50:37.931907,17,1606413037,931516885,,-0.561828196049,-0.00252468907274
2020/11/26/18:50:37.977093,18,1606413037,976689100,,-0.560805737972,0.0020086967852
2020/11/26/18:50:38.021101,19,1606413038,20807981,,-0.560805737972,0.00328805157915
2020/11/26/18:50:38.066197,20,1606413038,65798997,,-0.563873052597,-0.00393250444904
2020/11/26/18:50:38.109027,21,1606413038,108604907,,-0.562850654125,-0.00345013616607
2020/11/26/18:50:38.153826,22,1606413038,153477907,,-0.562850654125,-0.0027077589184
2020/11/26/18:50:38.198352,23,1606413038,197978973,,-0.560805737972,0.002771086758
2020/11/26/18:50:38.242339,24,1606413038,241967916,,-0.564895510674,-0.00526906736195
2020/11/26/18:50:38.287747,25,1606413038,287288904,,-0.560805737972,0.00222317967564
2020/11/26/18:50:38.330413,26,1606413038,330096006,,-0.5597833395,0.00689954916015
2020/11/26/18:50:38.375219,27,1606413038,374823093,,-0.565917909145,-0.00682344892994
2020/11/26/18:50:38.419459,28,1606413038,419192075,,-0.5597833395,0.0036997795105
2020/11/26/18:50:38.463524,29,1606413038,463079929,,-0.566940367222,-0.00982882548124
2020/11/26/18:50:38.506640,30,1606413038,506335020,,-0.560805737972,0.00119871203788
2020/11/26/18:50:38.550670,31,1606413038,550410985,,-0.563873052597,-0.00219537690282
2020/11/26/18:50:38.595556,32,1606413038,595076084,,-0.565917909145,-0.00778628932312
2020/11/26/18:50:38.640302,33,1606413038,639936923,,-0.564895510674,-0.00613449979573
