time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
1970/01/01/01:01:02.534000,1,62,533000000,,0,7,1.0,-0.5,0.0,False
1970/01/01/01:01:12.533000,2,72,533000000,,0,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:02:13.537000,3,133,537000000,,0,7,1.0,-0.5,0.0,False
1970/01/01/01:02:23.538000,4,143,537000000,,0,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:03:24.542000,5,204,541000000,,0,7,1.0,-0.5,0.0,False
1970/01/01/01:03:34.542000,6,214,542000000,,0,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:04:35.545000,7,275,545000000,,1,7,1.0,-0.5,0.0,False
1970/01/01/01:04:45.545000,8,285,545000000,,1,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:05:46.550000,9,346,550000000,,1,7,1.0,-0.5,0.0,False
1970/01/01/01:05:56.554000,10,356,554000000,,1,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:06:57.560000,11,417,559000000,,1,7,1.0,-0.5,0.0,False
1970/01/01/01:07:07.561000,12,427,560000000,,1,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:08:08.562000,13,488,562000000,,2,7,1.0,-0.5,0.0,False
1970/01/01/01:08:18.564000,14,498,563000000,,2,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:09:19.568000,15,559,567000000,,2,7,1.0,-0.5,0.0,False
1970/01/01/01:09:29.567000,16,569,567000000,,2,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:10:30.572000,17,630,571000000,,2,7,1.0,-0.5,0.0,False
1970/01/01/01:10:40.572000,18,640,571000000,,2,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:11:41.575000,19,701,575000000,,3,7,1.0,-0.5,0.0,False
1970/01/01/01:11:51.575000,20,711,575000000,,3,0,0.019999999553,-0.5,0.20000000298,False
1970/01/01/01:12:52.579000,21,772,578000000,,3,7,1.0,-0.5,0.0,False
1970/01/01/01:13:02.579000,22,782,579000000,,3,0,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:14:03.581000,23,843,581000000,,3,7,1.0,-0.5,0.0,False
1970/01/01/01:14:13.582000,24,853,581000000,,3,1,0.0500000007451,-0.5,0.20000000298,False
1970/01/01/01:15:14.595000,25,914,591000000,,1,1,0.10000000149,-0.5,0.0,True
