time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity,.acceleration
1970/01/01/01:01:02.534000,1,62,533000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.535000,2,62,534000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.555000,3,62,554000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.575000,4,62,575000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.594000,5,62,594000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.615000,6,62,615000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.635000,7,62,634000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.656000,8,62,656000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.676000,9,62,675000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.694000,10,62,694000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.715000,11,62,714000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.735000,12,62,734000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.755000,13,62,754000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.775000,14,62,774000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.795000,15,62,794000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.815000,16,62,815000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.834000,17,62,834000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.854000,18,62,854000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.875000,19,62,875000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.900000,20,62,899000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.915000,21,62,914000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.935000,22,62,935000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.954000,23,62,954000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.977000,24,62,976000000,,-0.5,0.0,0.0
1970/01/01/01:01:02.995000,25,62,994000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.015000,26,63,15000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.035000,27,63,34000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.055000,28,63,55000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.074000,29,63,74000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.094000,30,63,94000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.115000,31,63,114000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.135000,32,63,134000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.154000,33,63,154000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.174000,34,63,174000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.195000,35,63,194000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.215000,36,63,214000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.235000,37,63,234000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.255000,38,63,254000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.275000,39,63,275000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.295000,40,63,294000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.314000,41,63,314000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.335000,42,63,334000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.355000,43,63,354000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.375000,44,63,374000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.394000,45,63,394000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.414000,46,63,414000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.435000,47,63,434000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.455000,48,63,454000000,,-0.5,0.0,0.0
1970/01/01/01:01:03.475000,49,63,474000000,,-0.5,0.0,0.0
